Serial Number,TImeUS,Time in minutes,GMS,GWK,Nsats,Hdop,Latitude,Longitude,Altitude,Speed
0,394047499,6.57,443533800,2326,30,0.5,12.8939823,80.0511784,16.48,0.02
1,394247455,6.57,443534000,2326,30,0.5,12.8939823,80.0511784,16.48,0.02
2,394447490,6.57,443534200,2326,30,0.5,12.8939823,80.0511784,16.49,0.03
3,394627812,6.58,443534400,2326,30,0.5,12.8939823,80.0511784,16.49,0.03
4,394847466,6.58,443534600,2326,30,0.5,12.8939823,80.0511784,16.50,0.03
5,395047454,6.58,443534800,2326,30,0.5,12.8939822,80.0511784,16.50,0.02
6,395247460,6.59,443535000,2326,30,0.5,12.8939823,80.0511784,16.51,0.04
7,395447461,6.59,443535200,2326,30,0.5,12.8939823,80.0511784,16.50,0.02
8,395627784,6.59,443535400,2326,30,0.5,12.8939824,80.0511784,16.51,0.04
9,395847495,6.60,443535600,2326,30,0.5,12.8939824,80.0511784,16.49,0.01
10,396047468,6.60,443535800,2326,30,0.5,12.8939824,80.0511784,16.48,0.03
11,396247450,6.60,443536000,2326,30,0.5,12.8939823,80.0511784,16.47,0.02
12,396447498,6.61,443536200,2326,30,0.5,12.8939824,80.0511784,16.48,0.02
13,396647430,6.61,443536400,2326,30,0.5,12.8939824,80.0511784,16.48,0.03
14,396847454,6.61,443536600,2326,30,0.5,12.8939824,80.0511784,16.48,0.05
15,396847454,6.61,443536600,2326,30,0.5,12.8939824,80.0511784,16.48,0.05
16,396847454,6.61,443536600,2326,30,0.5,12.8939824,80.0511784,16.48,0.05
17,397047506,6.62,443536800,2326,30,0.5,12.8939824,80.0511784,16.48,0.04
18,397247433,6.62,443537000,2326,30,0.5,12.8939825,80.0511783,16.46,0.02
19,397447552,6.62,443537200,2326,30,0.5,12.8939825,80.0511784,16.48,0.07
20,397447552,6.62,443537200,2326,30,0.5,12.8939825,80.0511784,16.48,0.07
21,397647495,6.63,443537400,2326,30,0.5,12.8939824,80.0511785,16.48,0.03
22,397647495,6.63,443537400,2326,30,0.5,12.8939824,80.0511785,16.48,0.03
23,397847518,6.63,443537600,2326,30,0.5,12.8939824,80.0511785,16.47,0.02
24,397847518,6.63,443537600,2326,30,0.5,12.8939824,80.0511785,16.47,0.02
25,398047473,6.63,443537800,2326,30,0.5,12.8939823,80.0511785,16.47,0.02
26,398047473,6.63,443537800,2326,30,0.5,12.8939823,80.0511785,16.47,0.02
27,398247460,6.64,443538000,2326,30,0.5,12.8939823,80.0511785,16.46,0.04
28,398447449,6.64,443538200,2326,30,0.5,12.8939822,80.0511785,16.46,0.05
29,398647434,6.64,443538400,2326,30,0.5,12.8939822,80.0511785,16.47,0.03
30,398847488,6.65,443538600,2326,30,0.5,12.8939822,80.0511785,16.48,0.05
31,399027798,6.65,443538800,2326,30,0.5,12.8939822,80.0511786,16.49,0.04
32,399027798,6.65,443538800,2326,30,0.5,12.8939822,80.0511786,16.49,0.04
33,399027798,6.65,443538800,2326,30,0.5,12.8939822,80.0511786,16.49,0.04
34,399247525,6.65,443539000,2326,30,0.5,12.8939821,80.0511786,16.48,0.03
35,399247525,6.65,443539000,2326,30,0.5,12.8939821,80.0511786,16.48,0.03
36,399247525,6.65,443539000,2326,30,0.5,12.8939821,80.0511786,16.48,0.03
37,399247525,6.65,443539000,2326,30,0.5,12.8939821,80.0511786,16.48,0.03
38,399247525,6.65,443539000,2326,30,0.5,12.8939821,80.0511786,16.48,0.03
39,399447467,6.66,443539200,2326,30,0.5,12.8939821,80.0511786,16.49,0.01
40,399447467,6.66,443539200,2326,30,0.5,12.8939821,80.0511786,16.49,0.01
41,399447467,6.66,443539200,2326,30,0.5,12.8939821,80.0511786,16.49,0.01
42,399447467,6.66,443539200,2326,30,0.5,12.8939821,80.0511786,16.49,0.01
43,399447467,6.66,443539200,2326,30,0.5,12.8939821,80.0511786,16.49,0.01
44,399647509,6.66,443539400,2326,30,0.5,12.8939821,80.0511786,16.49,0.03
45,399647509,6.66,443539400,2326,30,0.5,12.8939821,80.0511786,16.49,0.03
46,399847534,6.66,443539600,2326,30,0.5,12.8939821,80.0511787,16.49,0.01
47,399847534,6.66,443539600,2326,30,0.5,12.8939821,80.0511787,16.49,0.01
48,399847534,6.66,443539600,2326,30,0.5,12.8939821,80.0511787,16.49,0.01
49,399847534,6.66,443539600,2326,30,0.5,12.8939821,80.0511787,16.49,0.01
50,400027762,6.67,443539800,2326,30,0.5,12.8939821,80.0511787,16.50,0.02
51,400027762,6.67,443539800,2326,30,0.5,12.8939821,80.0511787,16.50,0.02
52,400027762,6.67,443539800,2326,30,0.5,12.8939821,80.0511787,16.50,0.02
53,400247481,6.67,443540000,2326,30,0.5,12.8939820,80.0511787,16.50,0.04
54,400247481,6.67,443540000,2326,30,0.5,12.8939820,80.0511787,16.50,0.04
55,400247481,6.67,443540000,2326,30,0.5,12.8939820,80.0511787,16.50,0.04
56,400247481,6.67,443540000,2326,30,0.5,12.8939820,80.0511787,16.50,0.04
57,400447514,6.67,443540200,2326,30,0.5,12.8939820,80.0511787,16.52,0.01
58,400447514,6.67,443540200,2326,30,0.5,12.8939820,80.0511787,16.52,0.01
59,400447514,6.67,443540200,2326,30,0.5,12.8939820,80.0511787,16.52,0.01
60,400447514,6.67,443540200,2326,30,0.5,12.8939820,80.0511787,16.52,0.01
61,400647495,6.68,443540400,2326,30,0.5,12.8939820,80.0511787,16.51,0.01
62,400647495,6.68,443540400,2326,30,0.5,12.8939820,80.0511787,16.51,0.01
63,400647495,6.68,443540400,2326,30,0.5,12.8939820,80.0511787,16.51,0.01
64,400847504,6.68,443540600,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
65,400847504,6.68,443540600,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
66,400847504,6.68,443540600,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
67,400847504,6.68,443540600,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
68,401047491,6.68,443540800,2326,30,0.5,12.8939820,80.0511787,16.50,0.03
69,401047491,6.68,443540800,2326,30,0.5,12.8939820,80.0511787,16.50,0.03
70,401047491,6.68,443540800,2326,30,0.5,12.8939820,80.0511787,16.50,0.03
71,401047491,6.68,443540800,2326,30,0.5,12.8939820,80.0511787,16.50,0.03
72,401247483,6.69,443541000,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
73,401247483,6.69,443541000,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
74,401247483,6.69,443541000,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
75,401247483,6.69,443541000,2326,30,0.5,12.8939820,80.0511787,16.50,0.01
76,401447476,6.69,443541200,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
77,401447476,6.69,443541200,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
78,401447476,6.69,443541200,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
79,401447476,6.69,443541200,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
80,401647483,6.69,443541400,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
81,401647483,6.69,443541400,2326,30,0.5,12.8939820,80.0511787,16.49,0.03
82,401847465,6.70,443541600,2326,30,0.5,12.8939820,80.0511788,16.50,0.06
83,401847465,6.70,443541600,2326,30,0.5,12.8939820,80.0511788,16.50,0.06
84,401847465,6.70,443541600,2326,30,0.5,12.8939820,80.0511788,16.50,0.06
85,401847465,6.70,443541600,2326,30,0.5,12.8939820,80.0511788,16.50,0.06
86,402047504,6.70,443541800,2326,30,0.5,12.8939820,80.0511788,16.48,0.02
87,402247506,6.70,443542000,2326,30,0.5,12.8939820,80.0511788,16.46,0.02
88,402427775,6.71,443542200,2326,30,0.5,12.8939820,80.0511788,16.47,0.02
89,402427775,6.71,443542200,2326,30,0.5,12.8939820,80.0511788,16.47,0.02
90,402427775,6.71,443542200,2326,30,0.5,12.8939820,80.0511788,16.47,0.02
91,402647477,6.71,443542400,2326,30,0.5,12.8939820,80.0511789,16.48,0.03
92,402647477,6.71,443542400,2326,30,0.5,12.8939820,80.0511789,16.48,0.03
93,402647477,6.71,443542400,2326,30,0.5,12.8939820,80.0511789,16.48,0.03
94,402847553,6.71,443542600,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
95,402847553,6.71,443542600,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
96,403047479,6.72,443542800,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
97,403047479,6.72,443542800,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
98,403047479,6.72,443542800,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
99,403047479,6.72,443542800,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
100,403047479,6.72,443542800,2326,30,0.5,12.8939820,80.0511789,16.47,0.03
101,403247474,6.72,443543000,2326,30,0.5,12.8939821,80.0511789,16.45,0.03
102,403427779,6.72,443543200,2326,30,0.5,12.8939821,80.0511789,16.46,0.02
103,403647457,6.73,443543400,2326,30,0.5,12.8939822,80.0511789,16.44,0.01
104,403847473,6.73,443543600,2326,30,0.5,12.8939822,80.0511790,16.44,0.01
105,404047550,6.73,443543800,2326,30,0.5,12.8939822,80.0511790,16.45,0.01
106,404247473,6.74,443544000,2326,30,0.5,12.8939822,80.0511790,16.45,0.02
107,404427792,6.74,443544200,2326,30,0.5,12.8939822,80.0511790,16.43,0.02
108,404647500,6.74,443544400,2326,30,0.5,12.8939822,80.0511790,16.44,0.02
109,404847552,6.75,443544600,2326,30,0.5,12.8939823,80.0511791,16.46,0.02
110,405047441,6.75,443544800,2326,30,0.5,12.8939823,80.0511791,16.47,0.04
111,405247475,6.75,443545000,2326,30,0.5,12.8939824,80.0511791,16.47,0.01
112,405427804,6.76,443545200,2326,30,0.5,12.8939824,80.0511792,16.46,0.01
113,405647438,6.76,443545400,2326,30,0.5,12.8939824,80.0511792,16.47,0.02
114,405847450,6.76,443545600,2326,30,0.5,12.8939824,80.0511792,16.45,0.03
115,406047475,6.77,443545800,2326,30,0.5,12.8939824,80.0511793,16.46,0.03
116,406247482,6.77,443546000,2326,30,0.5,12.8939823,80.0511793,16.46,0.04
117,406447474,6.77,443546200,2326,30,0.5,12.8939824,80.0511793,16.45,0.02
118,406647485,6.78,443546400,2326,30,0.5,12.8939824,80.0511794,16.45,0.04
119,406847467,6.78,443546600,2326,30,0.5,12.8939824,80.0511794,16.44,0.01
120,407047461,6.78,443546800,2326,30,0.5,12.8939824,80.0511795,16.44,0.01
121,407247452,6.79,443547000,2326,30,0.5,12.8939824,80.0511795,16.44,0.01
122,407447460,6.79,443547200,2326,30,0.5,12.8939825,80.0511795,16.43,0.01
123,407647486,6.79,443547400,2326,30,0.5,12.8939825,80.0511795,16.44,0.01
124,407827752,6.80,443547600,2326,30,0.5,12.8939825,80.0511796,16.45,0.01
125,408047447,6.80,443547800,2326,30,0.5,12.8939825,80.0511796,16.44,0.04
126,408247509,6.80,443548000,2326,30,0.5,12.8939826,80.0511796,16.41,0.01
127,408447484,6.81,443548200,2326,30,0.5,12.8939826,80.0511796,16.40,0.02
128,408647460,6.81,443548400,2326,30,0.5,12.8939827,80.0511796,16.38,0.03
129,408827795,6.81,443548600,2326,30,0.5,12.8939827,80.0511797,16.36,0.00
130,409047464,6.82,443548800,2326,30,0.5,12.8939828,80.0511797,16.36,0.02
131,409247457,6.82,443549000,2326,30,0.5,12.8939828,80.0511798,16.37,0.06
132,409447466,6.82,443549200,2326,30,0.5,12.8939829,80.0511798,16.47,0.08
133,409647457,6.83,443549400,2326,30,0.5,12.8939831,80.0511798,16.64,0.07
134,409827712,6.83,443549600,2326,30,0.5,12.8939831,80.0511797,16.78,0.04
135,410047477,6.83,443549800,2326,30,0.5,12.8939830,80.0511797,16.82,0.20
136,410247500,6.84,443550000,2326,30,0.5,12.8939826,80.0511799,16.87,0.38
137,410447481,6.84,443550200,2326,30,0.5,12.8939821,80.0511799,16.92,0.21
138,410647455,6.84,443550400,2326,30,0.5,12.8939817,80.0511799,16.95,0.35
139,410847504,6.85,443550600,2326,30,0.5,12.8939810,80.0511800,16.97,0.42
140,411047460,6.85,443550800,2326,30,0.5,12.8939804,80.0511801,17.00,0.39
141,411247444,6.85,443551000,2326,30,0.5,12.8939796,80.0511802,17.09,0.44
142,411447495,6.86,443551200,2326,30,0.5,12.8939788,80.0511801,17.07,0.50
143,411647458,6.86,443551400,2326,30,0.5,12.8939779,80.0511800,17.09,0.52
144,411847547,6.86,443551600,2326,30,0.5,12.8939770,80.0511798,17.16,0.54
145,412047455,6.87,443551800,2326,30,0.5,12.8939759,80.0511797,17.20,0.66
146,412247455,6.87,443552000,2326,30,0.5,12.8939748,80.0511795,17.23,0.61
147,412447476,6.87,443552200,2326,30,0.5,12.8939737,80.0511793,17.22,0.71
148,412647429,6.88,443552400,2326,30,0.5,12.8939724,80.0511791,17.21,0.73
149,412847445,6.88,443552600,2326,30,0.5,12.8939711,80.0511788,17.20,0.74
150,413047470,6.88,443552800,2326,30,0.5,12.8939698,80.0511785,17.18,0.76
151,413247538,6.89,443553000,2326,30,0.5,12.8939686,80.0511782,17.18,0.64
152,413447464,6.89,443553200,2326,30,0.5,12.8939677,80.0511779,17.18,0.48
153,413647458,6.89,443553400,2326,30,0.5,12.8939669,80.0511775,17.15,0.51
154,413847451,6.90,443553600,2326,30,0.5,12.8939661,80.0511771,17.11,0.46
155,414047450,6.90,443553800,2326,30,0.5,12.8939655,80.0511766,17.11,0.38
156,414247469,6.90,443554000,2326,30,0.5,12.8939649,80.0511762,17.10,0.50
157,414447446,6.91,443554200,2326,30,0.5,12.8939640,80.0511757,17.08,0.57
158,414647441,6.91,443554400,2326,30,0.5,12.8939630,80.0511752,17.06,0.59
159,414847512,6.91,443554600,2326,30,0.5,12.8939621,80.0511747,17.05,0.63
160,415047462,6.92,443554800,2326,30,0.5,12.8939610,80.0511741,17.05,0.68
161,415247461,6.92,443555000,2326,30,0.5,12.8939600,80.0511735,17.05,0.65
162,415447544,6.92,443555200,2326,30,0.5,12.8939589,80.0511730,17.07,0.63
163,415647479,6.93,443555400,2326,30,0.5,12.8939581,80.0511724,17.12,0.51
164,415847457,6.93,443555600,2326,30,0.5,12.8939574,80.0511718,17.13,0.45
165,416047456,6.93,443555800,2326,30,0.5,12.8939571,80.0511711,17.11,0.42
166,416247531,6.94,443556000,2326,30,0.5,12.8939571,80.0511704,17.12,0.42
