,0,1,2,3,4,5,Nsats,Hdop,Latitude,Longitude,Altitude,Speed,12,13,14,15
0,1400,361911516,0,4,195570600,2377,27,0.58,18.0756294,73.9830264,681.59,0.05,0,0.098,0,0
1,1816,362111493,0,4,195570800,2377,27,0.58,18.0756295,73.9830263,681.57,0.027,0,0.072,0,0
2,1967,362311516,0,4,195571000,2377,27,0.58,18.0756295,73.9830263,681.53,0.039,0,0.064,0,0
3,2121,362511493,0,4,195571200,2377,27,0.58,18.0756295,73.9830263,681.53,0.045,0,0.059,0,0
4,2285,362711480,0,4,195571400,2377,27,0.58,18.0756295,73.9830263,681.53,0.03,0,0.043,0,0
5,2440,362911569,0,4,195571600,2377,27,0.58,18.0756295,73.9830262,681.51,0.027,0,0.08400001,0,0
6,2596,363111466,0,4,195571800,2377,27,0.58,18.0756295,73.9830262,681.5,0.06900001,0,0.09100001,0,0
7,2748,363311563,0,4,195572000,2377,27,0.58,18.0756296,73.9830262,681.49,0.049,0,0.075,0,0
8,2906,363511506,0,4,195572200,2377,27,0.58,18.0756297,73.9830262,681.48,0.03,0,0.039,0,0
9,3070,363711457,0,4,195572400,2377,27,0.58,18.0756297,73.9830262,681.46,0.056,0,0.105,0,0
10,3224,363911524,0,4,195572600,2377,27,0.58,18.0756298,73.9830263,681.46,0.027,0,0.022,0,0
11,3380,364111505,0,4,195572800,2377,27,0.58,18.0756298,73.9830263,681.47,0.033,0,-0.032,0,0
12,3532,364311640,0,4,195573000,2377,27,0.58,18.0756298,73.9830263,681.48,0.019,0,-0.041,0,0
13,3686,364511459,0,4,195573200,2377,27,0.58,18.0756299,73.9830263,681.46,0.045,0,-0.027,0,0
14,3851,364711643,0,4,195573400,2377,27,0.58,18.0756299,73.9830263,681.49,0.01,0,-0.006,0,0
15,4004,364911554,0,4,195573600,2377,27,0.58,18.0756299,73.9830263,681.5,0.018,0,-0.055,0,0
16,4005,364911554,0,4,195573600,2377,27,0.58,18.0756299,73.9830263,681.5,0.018,0,-0.055,0,0
17,4158,365111523,0,4,195573800,2377,27,0.58,18.0756299,73.9830264,681.51,0.019,0,-0.011,0,0
18,4159,365111523,0,4,195573800,2377,27,0.58,18.0756299,73.9830264,681.51,0.019,0,-0.011,0,0
