Serial Number,TimeUS,VibeX,VibeY,VibeZ
0,361814765,0.02124672,0.02045621,0.02250056
1,361914206,0.02246884,0.02316009,0.02042601
2,362014197,0.02136528,0.02400862,0.02503496
3,362114198,0.02219149,0.02210676,0.02470059
4,362214229,0.02310366,0.02328513,0.02411016
5,362314193,0.02257188,0.0211429,0.02282191
6,362414121,0.02423388,0.02121989,0.02378183
7,362514227,0.02288801,0.02274904,0.02478983
8,362614188,0.02283707,0.0212399,0.02442995
9,362714168,0.02282595,0.02255856,0.02520256
10,362814187,0.02435977,0.02119979,0.02551254
11,362914244,0.02198573,0.02098446,0.02339122
12,363014157,0.02164289,0.02047934,0.02556394
13,363114197,0.02160653,0.02246277,0.02478936
14,363214117,0.02482125,0.02329578,0.02587579
15,363314221,0.02328851,0.02104087,0.02427351
16,363414125,0.02507711,0.02263073,0.02511785
17,363514220,0.02474342,0.02301891,0.02319905
18,363614239,0.02424419,0.02429392,0.02360155
19,363714152,0.02394972,0.02311644,0.02326723
20,363814147,0.02252924,0.02090855,0.02410194
21,363914167,0.02277454,0.02200106,0.02507222
22,364014202,0.02294837,0.02120326,0.02370787
23,364114219,0.02269324,0.02306142,0.02557508
24,364214139,0.02242834,0.02338107,0.02430821
25,364314192,0.02268558,0.02169134,0.02257561
26,364414165,0.0221035,0.02135785,0.02490994
27,364514212,0.02313063,0.02292909,0.02656054
28,364614223,0.02338785,0.02058902,0.02513099
29,364714255,0.02198988,0.01920226,0.02312567
30,364814200,0.02188307,0.02181295,0.02354
31,364914260,0.0284496,0.03554982,0.0266741
32,365014207,0.03957272,0.04495188,0.04626817
33,365114171,0.05135533,0.0879085,0.08886736
34,365214221,0.05879819,0.09051521,0.08490334
35,365314214,0.06203458,0.07548147,0.07816762
36,365414230,0.07402711,0.1026036,0.1228024
37,365514226,0.08782312,0.1128436,0.1392595
38,365614214,0.06916538,0.1108074,0.1023718
39,365714188,0.06624011,0.1122351,0.08370867
40,365814244,0.07116678,0.1193487,0.06779297
41,365914227,0.09729277,0.1029452,0.1124318
42,366014171,0.07787383,0.0956253,0.1000108
43,366114223,0.09381343,0.09653889,0.1224528
44,366214140,0.09994019,0.1036668,0.1185837
45,366314247,0.08582146,0.1160077,0.1340833
46,366414219,0.08979232,0.1265184,0.1828785
47,366514191,0.09038234,0.1652584,0.1878538
48,366614220,0.1252275,0.2058858,0.2215273
49,366714216,0.1459581,0.1867636,0.2243398
50,366814224,0.1513696,0.1773615,0.2284366
51,366914182,0.1406266,0.2012471,0.2733773
52,367014239,0.1882696,0.2074688,0.2373044
53,367114203,0.2297362,0.2111403,0.2618909
54,367214176,0.2024725,0.2377775,0.3326896
55,367314205,0.1883733,0.3029571,0.3292462
